label,importance_type,patch_index,importance
cv_168h_fold3,patch_attention_layer1,22,0.014228272251784801
cv_168h_fold3,patch_attention_layer1,23,0.06315278261899948
cv_168h_fold3,patch_attention_layer1,24,0.058712199330329895
cv_168h_fold3,patch_attention_layer1,25,0.028101198375225067
cv_168h_fold3,patch_attention_layer1,26,0.0022734375670552254
cv_168h_fold3,patch_attention_layer1,27,0.06013955548405647
cv_168h_fold3,patch_attention_layer1,28,0.02930278703570366
cv_168h_fold3,patch_attention_layer1,29,0.014019430615007877
cv_168h_fold3,patch_attention_layer1,30,0.006216319743543863
cv_168h_fold3,patch_attention_layer1,31,0.02759089507162571
cv_168h_fold3,patch_attention_layer1,32,0.00024146500800270587
cv_168h_fold3,patch_attention_layer1,33,0.0008323994698002934
cv_168h_fold3,patch_attention_layer1,34,0.015222761780023575
cv_168h_fold3,patch_attention_layer1,35,0.005817307624965906
cv_168h_fold3,patch_attention_layer1,36,0.013252357952296734
cv_168h_fold3,patch_attention_layer1,37,0.008716623298823833
cv_168h_fold3,patch_attention_layer1,38,0.013577433302998543
cv_168h_fold3,patch_attention_layer1,39,0.00857846811413765
cv_168h_fold3,patch_attention_layer1,40,0.01047931145876646
cv_168h_fold3,patch_attention_layer1,41,0.05470292270183563
cv_720h_fold1,patch_attention_layer1,0,0.03673681616783142
cv_720h_fold1,patch_attention_layer1,1,0.0025807020720094442
cv_720h_fold1,patch_attention_layer1,2,0.0006925872294232249
cv_720h_fold1,patch_attention_layer1,3,0.002671562135219574
cv_720h_fold1,patch_attention_layer1,4,0.0012061375891789794
cv_720h_fold1,patch_attention_layer1,5,0.00010570251470198855
cv_720h_fold1,patch_attention_layer1,6,0.00504803704097867
cv_720h_fold1,patch_attention_layer1,7,0.000576356309466064
cv_720h_fold1,patch_attention_layer1,8,0.005124660208821297
cv_720h_fold1,patch_attention_layer1,9,7.584482955280691e-05
cv_720h_fold1,patch_attention_layer1,10,0.0007042837678454816
cv_720h_fold1,patch_attention_layer1,11,0.0006801431882195175
cv_720h_fold1,patch_attention_layer1,12,0.03380841389298439
cv_720h_fold1,patch_attention_layer1,13,0.00040712341433390975
cv_720h_fold1,patch_attention_layer1,14,0.001958246575668454
cv_720h_fold1,patch_attention_layer1,15,0.0023652538657188416
cv_720h_fold1,patch_attention_layer1,16,0.010445177555084229
cv_720h_fold1,patch_attention_layer1,17,0.004224542994052172
cv_720h_fold1,patch_attention_layer1,18,0.007113710045814514
cv_720h_fold1,patch_attention_layer1,19,0.003828619373962283
cv_720h_fold1,patch_attention_layer1,20,0.004326802212744951
cv_720h_fold1,patch_attention_layer1,21,0.004301365930587053
cv_720h_fold1,patch_attention_layer1,22,8.598264685133472e-05
cv_720h_fold1,patch_attention_layer1,23,0.00021404643484856933
cv_720h_fold1,patch_attention_layer1,24,0.00023398399935103953
cv_720h_fold1,patch_attention_layer1,25,0.025635749101638794
cv_720h_fold1,patch_attention_layer1,26,0.0009364774450659752
cv_720h_fold1,patch_attention_layer1,27,0.0004402894410304725
cv_720h_fold1,patch_attention_layer1,28,0.0033989863004535437
cv_720h_fold1,patch_attention_layer1,29,0.0031891693361103535
cv_720h_fold1,patch_attention_layer1,30,0.0012986233923584223
cv_720h_fold1,patch_attention_layer1,31,0.0035714409314095974
cv_720h_fold1,patch_attention_layer1,32,0.0051034619100391865
cv_720h_fold1,patch_attention_layer1,33,0.007208343129605055
cv_720h_fold1,patch_attention_layer1,34,0.01061701588332653
cv_720h_fold1,patch_attention_layer1,35,0.008260979317128658
cv_720h_fold1,patch_attention_layer1,36,0.009240785613656044
cv_720h_fold1,patch_attention_layer1,37,0.014745941385626793
cv_720h_fold1,patch_attention_layer1,38,0.0045679728500545025
cv_720h_fold1,patch_attention_layer1,39,0.00026403460651636124
cv_720h_fold1,patch_attention_layer1,40,4.397241809783736e-06
cv_720h_fold1,patch_attention_layer1,41,0.0010151587193831801
cv_720h_fold1,patch_attention_layer1,42,0.0005146239418536425
cv_720h_fold1,patch_attention_layer1,43,0.00048185454215854406
cv_720h_fold1,patch_attention_layer1,44,0.0006328693125396967
cv_720h_fold1,patch_attention_layer1,45,0.001736097619868815
cv_720h_fold1,patch_attention_layer1,46,0.00015019060811027884
cv_720h_fold1,patch_attention_layer1,47,0.0003868420026265085
cv_720h_fold1,patch_attention_layer1,48,6.967644003452733e-05
cv_720h_fold1,patch_attention_layer1,49,0.00062170549063012
cv_720h_fold1,patch_attention_layer1,50,0.0027630352415144444
cv_720h_fold1,patch_attention_layer1,51,0.0007411722326651216
cv_720h_fold1,patch_attention_layer1,52,0.002781904535368085
cv_720h_fold1,patch_attention_layer1,53,0.009560235776007175
cv_720h_fold1,patch_attention_layer1,54,0.00987926498055458
cv_720h_fold1,patch_attention_layer1,55,0.001831327797845006
cv_720h_fold1,patch_attention_layer1,56,0.0007997467182576656
cv_720h_fold1,patch_attention_layer1,57,0.0021344395354390144
cv_720h_fold1,patch_attention_layer1,58,0.0020040650852024555
cv_720h_fold1,patch_attention_layer1,59,0.0026169619522988796
cv_720h_fold1,patch_attention_layer1,60,0.000957975338678807
cv_720h_fold1,patch_attention_layer1,61,0.005214833188802004
cv_720h_fold1,patch_attention_layer1,62,0.00012198055628687143
cv_720h_fold1,patch_attention_layer1,63,0.0006618377519771457
cv_720h_fold1,patch_attention_layer1,64,0.00021339893282856792
cv_720h_fold1,patch_attention_layer1,65,9.791838965611532e-05
cv_720h_fold1,patch_attention_layer1,66,2.9598311812151223e-05
cv_720h_fold1,patch_attention_layer1,67,0.004226496908813715
cv_720h_fold1,patch_attention_layer1,68,0.00016172014875337481
cv_720h_fold1,patch_attention_layer1,69,0.0004950562142767012
cv_720h_fold1,patch_attention_layer1,70,0.001470421440899372
cv_720h_fold1,patch_attention_layer1,71,0.0013823640765622258
cv_720h_fold1,patch_attention_layer1,72,0.0042692930437624454
cv_720h_fold1,patch_attention_layer1,73,0.019726259633898735
cv_720h_fold1,patch_attention_layer1,74,0.009078874252736568
cv_720h_fold1,patch_attention_layer1,75,0.016315585002303123
cv_720h_fold1,patch_attention_layer1,76,0.0002383055107202381
cv_720h_fold1,patch_attention_layer1,77,0.003670984413474798
cv_720h_fold1,patch_attention_layer1,78,0.00039376295171678066
cv_720h_fold1,patch_attention_layer1,79,0.00033032515784725547
cv_720h_fold1,patch_attention_layer1,80,0.005233804229646921
cv_720h_fold1,patch_attention_layer1,81,0.014977079816162586
cv_720h_fold1,patch_attention_layer1,82,0.0018903408199548721
cv_720h_fold1,patch_attention_layer1,83,0.0020419687498360872
cv_720h_fold1,patch_attention_layer1,84,0.0008741458877921104
cv_720h_fold1,patch_attention_layer1,85,0.010546653531491756
cv_720h_fold1,patch_attention_layer1,86,0.0022641269024461508
cv_720h_fold1,patch_attention_layer1,87,0.030679984018206596
cv_720h_fold1,patch_attention_layer1,88,0.0008681660983711481
cv_720h_fold1,patch_attention_layer1,89,0.001908761914819479
